Aircraft ID,Journey
Aircraft 0,ATL -> IAD -> LGA -> CVG -> GRR -> CVG -> SDF -> ATL
Aircraft 1,ATL -> MOB -> DFW -> ORD -> SBN -> ATL
Aircraft 2,ATL -> DFW -> ORD -> IND -> CVG -> HSV -> ATL
Aircraft 3,ATL -> CLE -> CLT -> PHL -> RDU -> CLT -> GSO -> CLT -> ATL
Aircraft 4,ATL -> ICT -> DTW -> LEX -> ATL
Aircraft 5,ATL -> DFW -> TPA -> JAX -> ATL
Aircraft 6,ATL -> CVG -> BOS -> RDU -> CLT -> CHS -> ATL
Aircraft 7,ATL -> DTW -> SHV -> MEM -> BNA -> BHM -> ATL
Aircraft 8,ATL -> ORD -> BUF -> MDW -> IND -> CVG -> SDF -> ATL
Aircraft 9,ATL -> AUS -> TPA -> MCO -> TLH -> ATL
Aircraft 10,ATL -> DCA -> JFK -> RDU -> BWI -> PHL -> CLT -> AGS -> ATL
Aircraft 11,ATL -> EWR -> BOS -> CVG -> CLT -> ATL
Aircraft 12,ATL -> PVD -> PHL -> EWR -> SDF -> ATL
Aircraft 13,ATL -> RDU -> MDW -> MSP -> ORD -> SDF -> ATL
Aircraft 14,ATL -> PVD -> BNA -> BHM -> HSV -> BHM -> ATL
Aircraft 15,ATL -> IAH -> ORD -> IND -> CVG -> TYS -> ATL
Aircraft 16,ATL -> MEM -> DFW -> ORD -> HSV -> BHM -> ATL
Aircraft 17,ATL -> CLE -> DAY -> DTW -> BDL -> PHL -> DCA -> ATL
Aircraft 18,ATL -> RSW -> MDW -> BNA -> ATL
Aircraft 19,ATL -> PIT -> ORD -> CLE -> CMH -> MEM -> BHM -> ATL
Aircraft 20,ATL -> MDW -> BDL -> CLT -> AGS -> ATL
Aircraft 21,ATL -> MSP -> ORD -> MEM -> BNA -> BHM -> ATL
Aircraft 22,ATL -> BOS -> LGA -> CLT -> BNA -> ATL
Aircraft 23,ATL -> IAH -> TPA -> BHM -> HSV -> BHM -> ATL
Aircraft 24,ATL -> CLT -> MDW -> BNA -> DTW -> LEX -> ATL
Aircraft 25,ATL -> PHL -> DTW -> ORD -> CLE -> SDF -> ATL
Aircraft 26,ATL -> JFK -> TPA -> MCO -> TLH -> ATL
Aircraft 27,ATL -> CLE -> BOS -> BWI -> CVG -> LEX -> ATL
Aircraft 28,ATL -> JFK -> DCA -> CLE -> RDU -> CLT -> CHS -> SAV -> ATL
Aircraft 29,ATL -> CID -> ORD -> DTW -> PHL -> RDU -> CLT -> ATL
Aircraft 30,ATL -> BOS -> BWI -> EWR -> DCA -> RDU -> CLT -> ATL
Aircraft 31,ATL -> PHL -> EWR -> STL -> BNA -> BHM -> HSV -> ATL
