,iata
0,ATL
1,ORD
2,DFW
3,MSP
4,DEN
5,DTW
6,CVG
7,IAH
8,SLC
9,EWR
10,LAS
11,LAX
12,MCO
13,PHX
14,CLT
15,MEM
16,CLE
17,JFK
18,SFO
19,IAD
20,LGA
21,BOS
22,BWI
23,TPA
24,FLL
25,PHL
26,DCA
27,SEA
28,SAN
29,MDW
30,STL
31,AUS
32,MCI
33,MKE
34,MIA
35,BNA
36,RDU
37,PDX
38,ABQ
39,JAX
40,SAT
41,IND
42,MSY
43,PIT
44,SMF
45,BDL
46,ONT
47,CMH
48,RSW
49,BHM
50,HOU
51,OAK
52,TUS
53,OKC
54,SDF
55,PBI
56,SJC
57,TUL
58,ORF
59,SNA
60,OMA
61,RNO
62,COS
63,BUF
64,DSM
65,GRR
66,LIT
67,PVD
68,XNA
69,BOI
70,LGB
71,MSN
72,DAL
73,ELP
74,RIC
75,ALB
76,CHS
77,DAY
78,FAT
79,GEG
80,MHT
81,PSP
82,ROC
83,SAV
84,GSO
85,GRB
86,SRQ
87,SYR
88,TYS
89,BUR
90,CAK
91,GJT
92,HSV
93,LEX
94,MRY
95,BTV
96,EGE
97,ICT
98,JAN
99,TWF
100,FNT
101,GSP
102,HPN
103,PWM
104,SBA
105,SGF
106,ATW
107,BFL
108,HDN
109,CAE
110,CID
111,MDT
112,MFR
113,MLI
114,PIA
115,ASE
116,BTR
117,BZN
118,IDA
119,ISP
120,MYR
121,PNS
122,ABE
123,FSD
124,JAC
125,LBB
126,LNK
127,MTJ
128,TLH
129,AMA
130,AVL
131,AVP
132,BGR
133,CHA
134,CRW
135,DAB
136,EUG
137,FAR
138,GPT
139,LAN
140,MAF
141,PIH
142,RDM
143,TVC
144,VPS
145,BMI
146,EVV
147,FCA
148,GTF
149,MGM
150,PHF
151,SBN
152,SHV
153,SWF
154,CWA
155,FWA
156,GUC
157,HRL
158,MOB
159,MSO
160,RAP
161,RFD
162,ROA
163,SPI
164,YUM
165,ACV
166,AGS
167,AZO
168,BIL
169,CPR
170,CRP
171,ILM
172,MBS
173,PFN
174,TRI
175,ACK
176,AEX
177,DRO
178,FSM
179,GCC
180,GRK
181,HLN
182,LFT
183,MFE
184,MKG
185,MLU
186,MOD
187,MQT
188,RDD
189,RKS
190,RST
191,SCE
192,SGU
193,SMX
194,TOL
195,ABI
196,BIS
197,BLI
198,BTM
199,CDC
200,CEC
201,CHO
202,CLD
203,CLL
204,CMI
205,COD
206,DLH
207,EYW
208,FAY
209,GGG
210,IPL
211,LAW
212,LMT
213,LRD
214,LSE
215,MLB
216,OAJ
217,PIR
218,PLN
219,PSC
220,SUN
221,ABY
222,ACT
223,ACY
224,ALO
225,BGM
226,BJI
227,BPT
228,BQK
229,BRO
230,CIC
231,CMX
232,CSG
233,DBQ
234,DHN
235,EKO
236,ELM
237,ERI
238,EWN
239,FLO
240,GFK
241,GNV
242,GTR
243,HHH
244,HTS
245,INL
246,IYK
247,LCH
248,LWB
249,LWS
250,LYH
251,MCN
252,MEI
253,MOT
254,RHI
255,ROW
256,SJT
257,SLE
258,SPS
259,SUX
260,TUP
261,TXK
262,TYR
263,VLD
264,YKM
