from_code,to_code,count,flightdistance,flighttime,airline
ABE,ATL,853,"692 miles / 1114 km","1 hour, 44 minutes",<undefined>
ABE,BHM,1,"792 miles / 1275 km","2 hours, 5 minutes",<undefined>
ABE,CLE,805,"339 miles / 545 km","1 hour, 11 minutes",<undefined>
ABE,CLT,465,"480 miles / 773 km","1 hour, 16 minutes",<undefined>
ABE,CVG,247,"502 miles / 808 km","1 hour, 30 minutes",<undefined>
ABE,DTW,997,"425 miles / 684 km","1 hour, 21 minutes",<undefined>
ABE,JFK,3,"87 miles / 140 km","40 minutes",<undefined>
ABE,LGA,9,"83 miles / 133 km","40 minutes",<undefined>
ABE,ORD,1425,"654 miles / 1053 km","1 hour, 45 minutes",<undefined>
ABE,PHL,2,"55 miles / 89 km","37 minutes",<undefined>
ABI,DFW,2660,"158 miles / 254 km","33 minutes",<undefined>
ABQ,AMA,368,"278 miles / 447 km","1 hour, 3 minutes",<undefined>
ABQ,ATL,1067,"1,269 miles / 2043 km","2 hours, 34 minutes",<undefined>
ABQ,AUS,433,"619 miles / 996 km","1 hour, 44 minutes",Southwest Airlines
ABQ,BWI,546,"1,670 miles / 2688 km","3 hours, 23 minutes",Southwest Airlines
ABQ,CLE,12,"1,411 miles / 2271 km","3 hours, 19 minutes",<undefined>
ABQ,CVG,260,"1,241 miles / 1997 km","2 hours, 59 minutes",<undefined>
ABQ,DAL,3078,"580 miles / 934 km","1 hour, 20 minutes",Southwest Airlines
ABQ,DEN,4318,"349 miles / 561 km","56 minutes",Southwest Airlines
ABQ,DFW,2888,"569 miles / 915 km","1 hour, 18 minutes",<undefined>
ABQ,ELP,799,"223 miles / 359 km","39 minutes",<undefined>
ABQ,EWR,167,"1,805 miles / 2905 km","4 hours, 7 minutes",<undefined>
ABQ,HOU,1011,"759 miles / 1222 km","1 hour, 40 minutes",Southwest Airlines
ABQ,IAD,365,"1,628 miles / 2620 km","3 hours, 10 minutes",<undefined>
ABQ,IAH,2261,"744 miles / 1197 km","1 hour, 42 minutes",<undefined>
ABQ,LAS,2402,"486 miles / 783 km","1 hour, 14 minutes",Southwest Airlines
ABQ,LAX,2395,"677 miles / 1090 km","1 hour, 38 minutes",Southwest Airlines
ABQ,LBB,366,"290 miles / 466 km","42 minutes",<undefined>
ABQ,MAF,367,"332 miles / 534 km","48 minutes",<undefined>
ABQ,MCI,670,"718 miles / 1156 km","1 hour, 34 minutes",Southwest Airlines
ABQ,MCO,730,"1,553 miles / 2499 km","3 hours, 7 minutes",<undefined>
ABQ,MDW,730,"1,121 miles / 1804 km","2 hours, 20 minutes",Southwest Airlines
ABQ,MSP,677,"981 miles / 1578 km","2 hours, 7 minutes",<undefined>
ABQ,OAK,1016,"889 miles / 1430 km","2 hours, 7 minutes",Southwest Airlines
ABQ,OKC,229,"510 miles / 821 km","1 hour, 31 minutes",<undefined>
ABQ,ONT,446,"630 miles / 1014 km","1 hour, 46 minutes",<undefined>
ABQ,ORD,751,"1,118 miles / 1799 km","2 hours, 17 minutes",<undefined>
ABQ,PDX,366,"1,111 miles / 1788 km","2 hours, 34 minutes",<undefined>
ABQ,PHX,5265,"328 miles / 529 km","56 minutes",Southwest Airlines
ABQ,SAN,1034,"628 miles / 1011 km","1 hour, 32 minutes",<undefined>
ABQ,SAT,424,"609 miles / 980 km","1 hour, 43 minutes",<undefined>
ABQ,SEA,721,"1,180 miles / 1898 km","2 hours, 43 minutes",<undefined>
ABQ,SFO,530,"896 miles / 1443 km","2 hours, 13 minutes",<undefined>
ABQ,SLC,2307,"493 miles / 793 km","1 hour, 17 minutes",<undefined>
ABQ,SMF,466,"866 miles / 1394 km","2 hours, 14 minutes",<undefined>
ABQ,STL,366,"934 miles / 1503 km","1 hour, 56 minutes",<undefined>
ABQ,TPA,366,"1,498 miles / 2410 km","3 hours, 30 minutes",<undefined>
ABQ,TUL,230,"608 miles / 979 km","1 hour, 43 minutes",<undefined>
ABQ,TUS,719,"321 miles / 517 km","52 minutes",<undefined>
ABY,ATL,1095,"146 miles / 234 km","34 minutes",<undefined>
ACK,EWR,234,"219 miles / 352 km","56 minutes",<undefined>
ACK,JFK,223,"199 miles / 321 km","43 minutes",Cape Air
ACT,DFW,1993,"89 miles / 144 km","27 minutes",<undefined>
ACV,CEC,362,"56 miles / 90 km","20 minutes",<undefined>
ACV,MRY,2,"327 miles / 526 km","1 hour, 9 minutes",<undefined>
ACV,SFO,2343,"250 miles / 402 km","1 hour, 3 minutes",<undefined>
ACV,SJC,1,"275 miles / 443 km","1 hour, 3 minutes",<undefined>
ACV,SLC,388,"635 miles / 1021 km","1 hour, 46 minutes",<undefined>
ACV,SMF,618,"207 miles / 333 km","47 minutes",<undefined>
ACY,ATL,113,"678 miles / 1092 km","1 hour, 50 minutes",<undefined>
ACY,JFK,1,"92 miles / 148 km","41 minutes",<undefined>
ACY,LGA,2,"98 miles / 158 km","42 minutes",<undefined>
ADK,ANC,102,"1,193 miles / 1919 km","2 hours, 32 minutes",<undefined>
ADQ,ANC,706,"253 miles / 407 km","42 minutes",<undefined>
AEX,ATL,983,"500 miles / 805 km","1 hour, 15 minutes",<undefined>
AEX,DFW,1005,"285 miles / 458 km","51 minutes",<undefined>
AEX,IAH,342,"190 miles / 306 km","37 minutes",<undefined>
AGS,ATL,2380,"143 miles / 231 km","33 minutes",<undefined>
AGS,CLT,16,"140 miles / 225 km","32 minutes",<undefined>
AGS,LGA,7,"678 miles / 1091 km","1 hour, 47 minutes",<undefined>
AKN,ANC,78,"289 miles / 465 km","47 minutes",<undefined>
AKN,DLG,38,"71 miles / 115 km","39 minutes",<undefined>
ALB,ATL,1154,"852 miles / 1372 km","2 hours, 10 minutes",<undefined>
ALB,BOS,1,"145 miles / 233 km","47 minutes",<undefined>
ALB,BWI,2297,"288 miles / 464 km","57 minutes",<undefined>
ALB,CLE,1113,"424 miles / 682 km","1 hour, 11 minutes",<undefined>
ALB,CLT,956,"646 miles / 1039 km","1 hour, 46 minutes",<undefined>
ALB,CVG,914,"622 miles / 1002 km","1 hour, 45 minutes",<undefined>
ALB,DCA,327,"318 miles / 512 km","1 hour, 8 minutes",<undefined>
ALB,DTW,1013,"489 miles / 787 km","1 hour, 22 minutes",<undefined>
ALB,EWR,611,"143 miles / 230 km","36 minutes",<undefined>
ALB,FLL,60,"1,204 miles / 1938 km","2 hours, 50 minutes",<undefined>
ALB,JFK,367,"145 miles / 233 km","47 minutes",<undefined>
ALB,LAS,366,"2,237 miles / 3600 km","5 hours, 5 minutes",<undefined>
ALB,MCO,1037,"1,073 miles / 1726 km","2 hours, 34 minutes",<undefined>
ALB,MDW,730,"717 miles / 1154 km","1 hour, 53 minutes",<undefined>
ALB,MSP,57,"979 miles / 1576 km","2 hours, 26 minutes",<undefined>
ALB,ORD,1630,"723 miles / 1163 km","1 hour, 52 minutes",<undefined>
ALB,PHL,449,"212 miles / 342 km","55 minutes",<undefined>
ALB,SBN,1,"645 miles / 1038 km","1 hour, 47 minutes",<undefined>
ALB,TPA,391,"1,130 miles / 1818 km","2 hours, 43 minutes",<undefined>
ALO,MSP,323,"166 miles / 267 km","50 minutes",<undefined>
AMA,ABQ,366,"278 miles / 447 km","1 hour, 3 minutes",<undefined>
AMA,DAL,2669,"323 miles / 520 km","51 minutes",<undefined>
AMA,DEN,729,"359 miles / 577 km","56 minutes",<undefined>
AMA,DFW,2556,"312 miles / 502 km","49 minutes",<undefined>
AMA,IAH,809,"517 miles / 833 km","1 hour, 18 minutes",<undefined>
AMA,LAS,366,"758 miles / 1221 km","1 hour, 49 minutes",<undefined>
AMA,TUL,1,"334 miles / 537 km","1 hour, 10 minutes",<undefined>
ANC,ADK,102,"1,193 miles / 1919 km","2 hours, 51 minutes",Alaska Airlines
ANC,ADQ,706,"253 miles / 407 km","44 minutes",Alaska Airlines
ANC,AKN,116,"289 miles / 465 km","47 minutes",PenAir
ANC,ATL,115,"3,416 miles / 5498 km","7 hours, 20 minutes",<undefined>
ANC,BET,1035,"399 miles / 643 km","1 hour, 1 minute",Alaska Airlines
ANC,CDV,362,"159 miles / 256 km","33 minutes",Alaska Airlines
ANC,CVG,90,"3,110 miles / 5005 km","6 hours, 43 minutes",<undefined>
ANC,DEN,451,"2,405 miles / 3871 km","4 hours, 45 minutes",<undefined>
ANC,DFW,153,"3,042 miles / 4896 km","5 hours, 51 minutes",<undefined>
ANC,DLG,78,"329 miles / 530 km","51 minutes",PenAir
ANC,DTW,96,"2,985 miles / 4804 km","6 hours, 28 minutes",<undefined>
ANC,FAI,3217,"261 miles / 420 km","41 minutes",Alaska Airlines
ANC,HNL,236,"2,777 miles / 4469 km","5 hours, 42 minutes",Alaska Airlines
ANC,IAH,207,"3,265 miles / 5255 km","6 hours, 17 minutes",<undefined>
ANC,JNU,1163,"571 miles / 918 km","1 hour, 21 minutes",Alaska Airlines
ANC,LAS,237,"2,304 miles / 3708 km","5 hours, 6 minutes",<undefined>
ANC,LAX,238,"2,345 miles / 3774 km","4 hours, 50 minutes",Alaska Airlines
ANC,MSP,826,"2,518 miles / 4052 km","4 hours, 49 minutes",<undefined>
ANC,OGG,27,"2,797 miles / 4502 km","5 hours, 44 minutes",<undefined>
ANC,OME,365,"540 miles / 868 km","1 hour, 17 minutes",Alaska Airlines
ANC,ORD,561,"2,845 miles / 4579 km","5 hours, 34 minutes",<undefined>
ANC,OTZ,725,"549 miles / 884 km","1 hour, 18 minutes",Alaska Airlines
ANC,PDX,576,"1,542 miles / 2482 km","3 hours, 13 minutes",Alaska Airlines
ANC,PHX,366,"2,551 miles / 4105 km","5 hours, 3 minutes",<undefined>
ANC,SCC,363,"626 miles / 1008 km","1 hour, 27 minutes",Alaska Airlines
ANC,SEA,6257,"1,448 miles / 2330 km","2 hours, 59 minutes",Alaska Airlines
ANC,SFO,181,"2,018 miles / 3247 km","4 hours, 9 minutes",<undefined>
ANC,SLC,478,"2,124 miles / 3419 km","4 hours, 7 minutes",<undefined>
ASE,ATL,16,"1,304 miles / 2099 km","3 hours, 7 minutes",<undefined>
ASE,DEN,3992,"125 miles / 201 km","29 minutes",<undefined>
ASE,GJT,1,"89 miles / 144 km","41 minutes",<undefined>
ASE,LAX,334,"737 miles / 1186 km","1 hour, 44 minutes",<undefined>
ASE,MSN,1,"951 miles / 1531 km","2 hours, 24 minutes",<undefined>
ASE,ORD,332,"1,013 miles / 1630 km","2 hours, 13 minutes",<undefined>
ASE,PHX,109,"491 miles / 791 km","1 hour, 29 minutes",<undefined>
ASE,RFD,1,"954 miles / 1535 km","2 hours, 24 minutes",<undefined>
ASE,SFO,62,"848 miles / 1364 km","2 hours",<undefined>
ASE,SLC,459,"292 miles / 470 km","1 hour, 5 minutes",<undefined>
ATL,ABE,852,"692 miles / 1114 km","1 hour, 34 minutes",Delta Air Lines
ATL,ABQ,1064,"1,269 miles / 2043 km","2 hours, 50 minutes",Delta Air Lines
ATL,ABY,1095,"146 miles / 234 km","28 minutes",Delta Air Lines
ATL,ACY,113,"678 miles / 1092 km","1 hour, 28 minutes",<undefined>
ATL,AEX,982,"500 miles / 805 km","1 hour, 16 minutes",Delta Air Lines
ATL,AGS,2381,"143 miles / 231 km","28 minutes",Delta Air Lines
ATL,ALB,1153,"852 miles / 1372 km","1 hour, 49 minutes",Delta Air Lines
ATL,ANC,115,"3,416 miles / 5498 km","7 hours, 20 minutes",<undefined>
ATL,ASE,16,"1,304 miles / 2099 km","3 hours, 7 minutes",<undefined>
ATL,ATW,742,"765 miles / 1231 km","1 hour, 43 minutes",Delta Air Lines
ATL,AUS,2255,"813 miles / 1308 km","1 hour, 57 minutes",Delta Air Lines
ATL,AVL,1936,"164 miles / 264 km","32 minutes",Delta Air Lines
ATL,AVP,584,"714 miles / 1149 km","1 hour, 36 minutes",Delta Air Lines
ATL,BDL,2140,"859 miles / 1383 km","1 hour, 51 minutes",Delta Air Lines
ATL,BGR,270,"1,134 miles / 1825 km","2 hours, 46 minutes",<undefined>
ATL,BHM,2871,"134 miles / 216 km","28 minutes",Delta Air Lines
ATL,BMI,2509,"533 miles / 857 km","1 hour, 18 minutes",Delta Air Lines
ATL,BNA,3096,"214 miles / 344 km","39 minutes",Delta Air Lines
ATL,BOI,41,"1,838 miles / 2958 km","4 hours, 11 minutes",<undefined>
ATL,BOS,5990,"946 miles / 1522 km","2 hours, 2 minutes",Delta Air Lines
ATL,BQK,924,"238 miles / 384 km","40 minutes",Delta Air Lines
ATL,BTR,2665,"449 miles / 722 km","1 hour, 9 minutes",Delta Air Lines
ATL,BTV,500,"960 miles / 1546 km","2 hours, 25 minutes",Delta Air Lines
ATL,BUF,3578,"712 miles / 1146 km","1 hour, 34 minutes",Delta Air Lines
ATL,BWI,5978,"577 miles / 928 km","1 hour, 22 minutes",Delta Air Lines
ATL,BZN,60,"1,640 miles / 2640 km","3 hours, 41 minutes",<undefined>
ATL,CAE,2494,"192 miles / 308 km","33 minutes",Delta Air Lines
ATL,CAK,3902,"528 miles / 850 km","1 hour, 13 minutes",Delta Air Lines
ATL,CHA,2082,"106 miles / 171 km","23 minutes",Delta Air Lines
ATL,CHO,786,"457 miles / 735 km","1 hour, 7 minutes",Delta Air Lines
ATL,CHS,4492,"259 miles / 417 km","42 minutes",Delta Air Lines
ATL,CID,357,"694 miles / 1117 km","1 hour, 41 minutes",Delta Air Lines
ATL,CLE,2865,"554 miles / 892 km","1 hour, 19 minutes",Delta Air Lines
ATL,CLT,6720,"227 miles / 365 km","42 minutes",Delta Air Lines
ATL,CMH,1796,"446 miles / 719 km","1 hour, 6 minutes",Delta Air Lines
ATL,COS,589,"1,184 miles / 1906 km","2 hours, 40 minutes",Delta Air Lines
ATL,CRP,5,"876 miles / 1410 km","2 hours, 15 minutes",<undefined>
ATL,CRW,1430,"363 miles / 584 km","56 minutes",Delta Air Lines
ATL,CSG,1481,"83 miles / 133 km","19 minutes",Delta Air Lines
ATL,CVG,2810,"373 miles / 601 km","58 minutes",Delta Air Lines
ATL,DAB,2413,"366 miles / 589 km","55 minutes",Delta Air Lines
ATL,DAY,4372,"432 miles / 695 km","1 hour, 4 minutes",Delta Air Lines
ATL,DCA,7289,"547 miles / 880 km","1 hour, 18 minutes",Delta Air Lines
ATL,DEN,5726,"1,199 miles / 1930 km","2 hours, 48 minutes",Delta Air Lines
