iata,country_code,region_name,icao,airport,latitude,longitude
ATL,US,Georgia,KATL,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281
ORD,US,Illinois,KORD,Chicago O'Hare International Airport,41.9786,-87.9047
DFW,US,Texas,KDFW,Dallas/Fort Worth International Airport,32.8968,-97.038
MSP,US,Minnesota,KMSP,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218
DEN,US,Colorado,KDEN,Denver International Airport,39.8617,-104.673
DTW,US,Michigan,KDTW,Detroit Metro Wayne County Airport,42.2125,-83.3533
CVG,US,Kentucky,KCVG,Cincinnati/Northern Kentucky International Airport,39.0488,-84.6678
IAH,US,Texas,KIAH,George Bush Intercontinental Airport,29.9844,-95.3414
SLC,US,Utah,KSLC,Salt Lake City International Airport,40.7884,-111.978
EWR,US,New Jersey,KEWR,Newark Liberty International Airport,40.6925,-74.1686
LAS,US,Nevada,KLAS,Harry Reid International Airport,36.0801,-115.152
LAX,US,California,KLAX,Los Angeles International Airport,33.9425,-118.408
MCO,US,Florida,KMCO,Orlando International Airport,28.4294,-81.309
PHX,US,Arizona,KPHX,Phoenix Sky Harbor International Airport,33.4343,-112.012
CLT,US,North Carolina,KCLT,Charlotte Douglas International Airport,35.214,-80.9431
MEM,US,Tennessee,KMEM,Memphis International Airport,35.0424,-89.9767
CLE,US,Ohio,KCLE,Cleveland Hopkins International Airport,41.4117,-81.8498
JFK,US,New York,KJFK,John F. Kennedy International Airport,40.6397,-73.7789
SFO,US,California,KSFO,San Francisco International Airport,37.619,-122.375
IAD,US,Virginia,KIAD,Washington Dulles International Airport,38.9445,-77.4558
LGA,US,New York,KLGA,LaGuardia Airport,40.775,-73.875
BOS,US,Massachusetts,KBOS,Logan International Airport,42.3643,-71.0052
BWI,US,Maryland,KBWI,Baltimore/Washington International Airport,39.1753,-76.6683
TPA,US,Florida,KTPA,Tampa International Airport,27.9755,-82.5332
